# Model: Name of the sea ice forecast model
# Ensemble member: Name of the ensemble member. Only relevant for IceNet models - for SEAS5 and the linear trend model this is 'NA'. IceNet's temperature-scaled ensemble mean is labelled 'ensemble_tempscaled'. The non-temperature-scaled ensemble mean is labelled 'ensemble'
# Leadtime: Lead time of the forecast (number of months)
# Forecast date: Monthly-average target forecast date (day set to 01 by default)
# Binary accuracy: Percentage of grid cells with the correct binary prediction for SIC > 15% from the model, computed within a maximum sea ice climatology mask (%)
# SIE error: Sea ice extent (area covered by grid cells with SIC > 15%) error between model and OSI-SAF ground truth (km2)
#
Model,Ensemble member,Leadtime,Forecast date,Binary accuracy,SIE error
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-10-01,91.81478,-724375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-11-01,95.68415999999999,-378125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-12-01,95.85896,263750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-01-01,96.042,-178750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-02-01,95.1422,-34375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-03-01,94.785324,-155625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-04-01,94.64995,-203125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-05-01,95.15872,222500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-06-01,95.21818499999999,163750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-07-01,92.21451,-323125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-08-01,91.05153,-438125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-09-01,92.69169000000001,-602500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-10-01,85.7197,-1671875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-11-01,95.06985,-433750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2014-12-01,97.125755,-245625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-01-01,96.51708,121875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-02-01,96.32913,188750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-03-01,95.01114,486875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-04-01,95.38073,5000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-05-01,96.28293599999999,168750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-06-01,95.16685,300000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-07-01,91.16017,-527500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-08-01,90.16086999999999,-180000.0
